Mkt-RF,SMB,HML,RF,year,month
0.98,3.08,0.9,0.01,1936,9
7.12,-2.43,2.47,0.02,1936,10
3.27,8.77,-1.21,0.01,1936,11
0.21,3.96,4.3,0,1936,12
3.35,4.34,2.61,0.01,1937,1
1.09,1.05,4.83,0.02,1937,2
-0.27,-1.69,6.5,0.01,1937,3
-7.36,-3.83,-3.66,0.03,1937,4
-0.83,-0.68,-3.48,0.06,1937,5
-4.21,-3.76,-3.33,0.03,1937,6
8.91,0.89,0.81,0.03,1937,7
-4.86,0.44,-2.25,0.02,1937,8
-13.61,-6.98,-4.57,0.04,1937,9
-9.61,0.41,-1.55,0.02,1937,10
-8.31,-3.6,0.15,0.02,1937,11
-4.24,-7.74,-0.4,0,1937,12
0.49,4.84,-1.61,0,1938,1
5.84,0.4,-2.02,0,1938,2
-23.82,-4.34,-3.54,-0.01,1938,3
14.51,6.46,0.23,0.01,1938,4
-3.83,-2.51,-0.27,0,1938,5
23.87,4.3,0.32,0,1938,6
7.34,6.64,2.2,-0.01,1938,7
-2.67,-2.45,-4.72,0,1938,8
0.81,-2.73,-1.62,0.02,1938,9
7.8,5.81,5.03,0.01,1938,10
-1.72,-2.57,-1.22,-0.06,1938,11
4.19,-1.82,0.53,0,1938,12
-5.96,-1.55,-3.94,-0.01,1939,1
3.51,0.63,2.95,0.01,1939,2
-11.99,-4.75,-8.31,-0.01,1939,3
-0.18,1.67,-0.3,0,1939,4
6.8,2.8,0.49,0.01,1939,5
-5.31,-1.01,-5.42,0.01,1939,6
10.24,4.32,-0.03,0,1939,7
-6.68,-4.61,-2.42,-0.01,1939,8
16.88,20.24,22.22,0.01,1939,9
-0.53,-0.01,-4.89,0,1939,10
-3.62,-5.07,-6.46,0,1939,11
3.03,0.79,-4.06,0,1939,12
-2.41,0.21,-0.81,0,1940,1
1.44,2.51,-0.33,0,1940,2
2.05,1.25,-1.27,0,1940,3
0.22,3.92,-0.13,0,1940,4
-21.95,-6.66,-3.69,-0.02,1940,5
6.67,-2.13,4.62,0,1940,6
3.16,1.01,-0.74,0.01,1940,7
2.19,-0.11,0.56,-0.01,1940,8
2.39,3.22,-1.13,0,1940,9
3.02,0.28,4.64,0,1940,10
-1.61,1.94,0.12,0,1940,11
0.69,-2.15,-0.89,0,1940,12
-4.17,1,3.83,-0.01,1941,1
-1.43,-1.56,0.89,-0.01,1941,2
0.84,0.1,3.04,0.01,1941,3
-5.46,-1.68,3.41,-0.01,1941,4
1.39,-0.65,0.6,0,1941,5
5.83,1.32,0.59,0,1941,6
5.87,5.71,7.25,0.03,1941,7
-0.17,-0.42,-1.1,0.01,1941,8
-0.87,-0.99,-0.28,0.01,1941,9
-5.25,-2.02,1.63,0,1941,10
-1.92,-1.21,-0.64,0,1941,11
-4.87,-2.99,-5.94,0.01,1941,12
0.79,7.53,10.1,0.02,1942,1
-2.46,1.72,-1.13,0.01,1942,2
-6.58,1.77,-0.62,0.01,1942,3
-4.37,-0.6,2.09,0.01,1942,4
5.94,-3.05,-2.65,0.03,1942,5
2.69,-1.22,0.54,0.02,1942,6
3.51,-0.15,2.4,0.03,1942,7
1.8,-0.09,1.35,0.03,1942,8
2.61,0.63,2.35,0.03,1942,9
6.82,1.75,6.39,0.03,1942,10
0.15,-1.5,-4.21,0.03,1942,11
5.12,-2.51,0.58,0.03,1942,12
7.13,8.8,8.18,0.03,1943,1
6.15,4.75,6.4,0.03,1943,2
6.01,4.99,5.48,0.03,1943,3
0.81,2.05,5.82,0.03,1943,4
5.74,4.35,3.25,0.03,1943,5
1.82,-1.02,-0.7,0.03,1943,6
-4.77,-2.39,-2.29,0.03,1943,7
1.3,-0.6,-0.43,0.03,1943,8
2.4,1.29,1.43,0.03,1943,9
-1.15,0.58,1.64,0.03,1943,10
-5.91,-1.65,-4.02,0.03,1943,11
6.36,3.34,3.24,0.03,1943,12
1.74,2.55,2.16,0.03,1944,1
0.37,-0.1,0.84,0.03,1944,2
2.46,1.73,3.43,0.02,1944,3
-1.69,-1.37,-1.14,0.03,1944,4
5.07,1.68,1.04,0.03,1944,5
5.49,4.01,1.75,0.03,1944,6
-1.49,0.58,-0.42,0.03,1944,7
1.57,2.33,-1.49,0.03,1944,8
0.01,0.49,-1.16,0.02,1944,9
0.16,-0.15,-0.33,0.03,1944,10
1.71,0.36,2.38,0.03,1944,11
4.03,2.25,5.91,0.02,1944,12
2.01,2.46,0.67,0.03,1945,1
6.23,1.55,4.34,0.02,1945,2
-3.89,-1.6,-1.74,0.02,1945,3
7.8,0.32,3.24,0.03,1945,4
1.73,1.52,0.36,0.03,1945,5
0.39,3.12,4.21,0.02,1945,6
-2.17,-1.52,-2.62,0.03,1945,7
6.2,1.5,-4.27,0.03,1945,8
4.77,1.7,0.42,0.03,1945,9
3.89,2.38,2.13,0.03,1945,10
5.39,4.31,3.96,0.02,1945,11
1.2,2.1,-2.28,0.03,1945,12
6.24,3.91,2.48,0.03,1946,1
-5.83,-0.71,-1.46,0.03,1946,2
5.87,0.29,-0.54,0.03,1946,3
4.23,2.35,0.32,0.03,1946,4
3.93,1.46,1.28,0.03,1946,5
-3.89,-1.58,-0.39,0.03,1946,6
-2.69,-2.07,0.07,0.03,1946,7
-6.44,-1.84,0.55,0.03,1946,8
-10.17,-4.4,-1.92,0.03,1946,9
-1.44,0.1,3.46,0.03,1946,10
-0.01,-0.44,1.47,0.03,1946,11
4.96,0.08,-1.36,0.03,1946,12
1.25,2.2,-0.73,0.03,1947,1
-1.08,0.68,0.15,0.03,1947,2
-1.67,-1.62,0.61,0.03,1947,3
-4.8,-3.96,0.85,0.03,1947,4
-0.97,-3.26,0.33,0.03,1947,5
5.29,-0.3,-0.59,0.03,1947,6
4.14,1.43,2.82,0.03,1947,7
-1.74,0.32,0.18,0.03,1947,8
-0.54,1.64,1.36,0.06,1947,9
2.47,0.51,0.07,0.06,1947,10
-1.97,-1.71,1.1,0.06,1947,11
3,-2.46,3.71,0.08,1947,12
-3.93,2.5,1.39,0.07,1948,1
-4.38,-1.72,0.07,0.07,1948,2
8.07,0.14,4.5,0.09,1948,3
3.65,-1.65,4.11,0.08,1948,4
7.3,0.91,-1.27,0.08,1948,5
-0.1,-1.82,2.81,0.09,1948,6
-5.09,-0.33,0.14,0.08,1948,7
0.25,-1.11,0.28,0.09,1948,8
-2.97,-1.23,-1.71,0.04,1948,9
5.96,-1.5,0.58,0.04,1948,10
-9.3,-0.6,-4.13,0.04,1948,11
3.26,-2.82,-1.94,0.04,1948,12
0.23,1.77,1.23,0.1,1949,1
-2.93,-1.9,-0.86,0.09,1949,2
4.04,2.5,1.29,0.1,1949,3
-1.87,-0.89,-1.13,0.09,1949,4
-2.94,-0.79,-2.37,0.1,1949,5
0.1,-0.91,-1.65,0.1,1949,6
5.54,0.55,0.37,0.09,1949,7
2.6,0.2,-0.55,0.09,1949,8
3.09,1,0.19,0.09,1949,9
3.14,1.04,-0.48,0.09,1949,10
1.82,-1.02,-0.96,0.08,1949,11
5.13,2.06,1.77,0.09,1949,12
1.7,3.33,0.12,0.09,1950,1
1.48,0.03,-0.79,0.09,1950,2
1.26,-1.44,-2.81,0.1,1950,3
3.94,1.94,1.3,0.09,1950,4
4.31,-2.1,0.46,0.1,1950,5
-5.94,-2.34,-0.7,0.1,1950,6
1.36,0.69,13.56,0.1,1950,7
4.85,0.76,-1.5,0.1,1950,8
4.81,0.49,-1.07,0.1,1950,9
-0.18,-0.47,1.3,0.12,1950,10
2.76,-0.89,3.33,0.11,1950,11
5.54,1.47,7.36,0.11,1950,12
5.7,1.76,3.64,0.13,1951,1
1.41,0.08,-2.85,0.1,1951,2
-2.15,-0.77,-4.1,0.11,1951,3
4.86,-1.45,3.27,0.13,1951,4
-2.34,0,-1.37,0.12,1951,5
-2.62,-2.06,-3.75,0.12,1951,6
6.94,-1.99,2.06,0.13,1951,7
4.27,0.99,-0.13,0.13,1951,8
0.7,1.87,0.63,0.12,1951,9
-2.53,-0.22,0.23,0.16,1951,10
0.57,-0.32,-0.06,0.11,1951,11
3.33,-2.26,-1.59,0.12,1951,12
1.45,-0.61,1.55,0.15,1952,1
-2.62,0.82,-0.61,0.12,1952,2
4.44,-2.99,2.17,0.11,1952,3
-4.97,0.46,-0.1,0.12,1952,4
3.2,-1,0.04,0.13,1952,5
3.83,-1.64,1.24,0.15,1952,6
0.91,-0.4,-0.35,0.15,1952,7
-0.76,1.15,0.01,0.15,1952,8
-2.03,1.11,-1.52,0.16,1952,9
-0.66,-1.05,-0.46,0.14,1952,10
5.94,-0.72,0.97,0.1,1952,11
2.93,-1.48,0.19,0.16,1952,12
-0.34,3.61,1.32,0.16,1953,1
-0.27,2.15,-0.09,0.14,1953,2
-1.43,-0.22,-0.85,0.18,1953,3
-2.83,0.3,1.57,0.16,1953,4
0.52,-0.07,0.23,0.17,1953,5
-1.89,-1.87,-0.47,0.18,1953,6
2.4,-1,-0.22,0.15,1953,7
-4.52,0.29,-3.53,0.17,1953,8
0.2,-0.84,-2.44,0.16,1953,9
4.6,-1.35,-0.25,0.13,1953,10
2.83,-1.3,-0.15,0.08,1953,11
0.03,-0.85,-2.84,0.13,1953,12
5.13,0.48,3.44,0.11,1954,1
1.67,-0.19,-0.29,0.07,1954,2
3.65,-0.54,-1.5,0.08,1954,3
4.27,-3.44,-0.34,0.09,1954,4
3.09,0.41,2.45,0.05,1954,5
1.07,0.38,0.01,0.06,1954,6
4.99,1.06,4.13,0.05,1954,7
-2.34,2.69,-1.38,0.05,1954,8
6.39,-2.53,0.68,0.09,1954,9
-1.67,0.62,0.67,0.07,1954,10
9.38,-2.62,4.4,0.06,1954,11
5.48,2.12,5.66,0.08,1954,12
0.6,0.36,2.14,0.08,1955,1
3.02,1.59,0.58,0.09,1955,2
-0.16,-0.74,1.97,0.1,1955,3
3.11,-1.62,0.68,0.1,1955,4
0.93,-0.28,-0.96,0.14,1955,5
6.55,-4.65,1.84,0.1,1955,6
1.9,-1.17,0.35,0.1,1955,7
0.21,-0.44,0.72,0.16,1955,8
-0.36,0.35,-0.99,0.16,1955,9
-2.68,1.48,-0.15,0.18,1955,10
7.03,-2.22,0.33,0.17,1955,11
1.49,2.16,-2.3,0.18,1955,12
-3.03,0.37,0.95,0.22,1956,1
3.77,-0.98,-0.43,0.19,1956,2
6.64,-2.09,-0.46,0.15,1956,3
0.28,0.01,-0.24,0.19,1956,4
-5.2,1.45,-1.31,0.23,1956,5
3.48,-1.48,-1.13,0.2,1956,6
4.84,-1.66,-0.04,0.22,1956,7
-3.18,1.89,-0.74,0.17,1956,8
-5.14,1.57,1.76,0.18,1956,9
0.52,-0.1,-0.06,0.25,1956,10
0.36,-0.21,1.78,0.2,1956,11
3.16,-0.01,-2.15,0.24,1956,12
-3.58,3.37,2.81,0.27,1957,1
