Mom,year,month
19.6,19,59
17.3,19,60
11.35,19,61
11.98,19,62
11.65,19,63
4.25,19,64
20.78,19,65
10.36,19,66
22.63,19,67
2.23,19,68
10,19,69
-3.91,19,70
3.83,19,71
15.27,19,72
29.48,19,73
8.23,19,74
-18.9,19,75
7.44,19,76
17.64,19,77
11.85,19,78
26.55,19,79
37.17,19,80
-8.25,19,81
34.73,19,82
-10.17,19,83
8.91,19,84
14.68,19,85
10.41,19,86
-3.47,19,87
-5.01,19,88
27.76,19,89
18.31,19,90
14.7,19,91
3.43,19,92
23.69,19,93
3.21,19,94
18.04,19,95
6.39,19,96
11.45,19,97
23.09,19,98
35.19,19,99
15.41,20,0
4.43,20,1
25.7,20,2
-24.35,20,3
-0.43,20,4
14.81,20,5
-7.8,20,6
22.07,20,7
13.53,20,8
-83.13,20,9
6.92,20,10
7.17,20,11
1.32,20,12
7.49,20,13
1.02,20,14
20.48,20,15
-21.27,20,16
4.63,20,17
9.88,20,18
-2.64,20,19
7.75,20,20
-2.4,20,21
15.49,20,22
-24.19,20,23
